   id, time,  addr, rssi,  ave, lane
  319,  484, 65:02,  -95,  -96,    4
  320,  961, 65:02,  -97,  -96,    4
  321, 3100, xx:xx, -120, -108,    4
  322, 3100, xx:xx, -120, -120,    4
  323, 1003, 65:02, -103, -111,    4
  324, 3120, xx:xx, -120, -111,    4
  325, 3112, 65:02,  -98, -109,    4
  326, 3100, xx:xx, -120, -109,    4
  327,  744, 65:02,  -95, -107,    4
  328, 3104, xx:xx, -120, -107,    4
  329, 3122, xx:xx, -120, -120,    4
  330, 3114, xx:xx, -120, -120,    4
  331, 1693, 65:02,  -97, -108,    4
  332,  495, 65:02,  -99,  -98,    4
  333,  471, 65:02, -100,  -99,    4
  334, 3103, xx:xx, -120, -110,    4
  335,  266, 65:02,  -97, -108,    4
  336,  469, 65:02,  -97,  -97,    4
  337,  979, 65:02,  -99,  -98,    4
  338, 2884, 65:02,  -84,  -91,    4
  339,  940, 65:02,  -89,  -86,    4
  340, 3134, 65:02,  -98,  -93,    4
  341,  474, 65:02,  -89,  -93,    4
  342,  476, 65:02,  -99,  -94,    4
  343,  478, 65:02,  -88,  -93,    4
  344,  958, 65:02,  -95,  -91,    4
  345,  967, 65:02,  -95,  -95,    4
  346,  471, 65:02,  -93,  -94,    4
  347,  963, 65:02,  -97,  -95,    4
  348,  478, 65:02,  -98,  -97,    4
  349, 3107, xx:xx, -120, -109,    4
  350, 3102, xx:xx, -120, -120,    4
  351,  999, 65:02, -100, -110,    4
  352,  956, 65:02,  -95,  -97,    4
  353, 2410, 65:02,  -95,  -95,    4
  354, 3107, xx:xx, -120, -107,    4
  355, 1201, 65:02, -100, -110,    4
  356,  968, 65:02,  -97,  -98,    4
  357, 3111, xx:xx, -120, -108,    4
  358, 3102, xx:xx, -120, -120,    4
  359, 2901, 65:02, -101, -110,    4
  360, 3128, xx:xx, -120, -110,    4
  361, 3108, xx:xx, -120, -120,    4
  362, 1446, 65:02,  -99, -109,    4
  363, 3111, xx:xx, -120, -109,    4
  364, 3103, xx:xx, -120, -120,    4
  365,  527, 65:02,  -96, -108,    4
  366,  458, 65:02,  -99,  -97,    4
  367,  480, 65:02,  -89,  -94,    4
  368,  959, 65:02,  -97,  -93,    4
  369, 1441, 65:02, -103, -100,    4
  370, 3110, xx:xx, -120, -111,    4
  371, 1571, 65:02,  -98, -109,    4
  372, 1471, 65:02,  -94,  -96,    4
  373,  443, 65:02,  -85,  -89,    4
  374, 1456, 65:02,  -97,  -91,    4
  375, 1432, 65:02,  -92,  -94,    4
  376,  479, 65:02,  -98,  -95,    4
  377, 3160, xx:xx, -120, -109,    4
  378, 3116, xx:xx, -120, -120,    4
  379, 1416, 65:02,  -95, -107,    5
  380, 1421, 65:02,  -93,  -94,    5
  381, 1919, 65:02,  -97,  -95,    5
  382, 1444, 65:02, -100,  -98,    5
  383,  477, 65:02,  -94,  -97,    5
  384, 2881, 65:02,  -98,  -96,    5
  385, 3105, xx:xx, -120, -109,    5
  386, 3094, xx:xx, -120, -120,    5
  387, 3107, xx:xx, -120, -120,    5
  388, 3088, xx:xx, -120, -120,    5
  389, 3089, xx:xx, -120, -120,    5
  390, 3104, xx:xx, -120, -120,    5
  391,  128, 65:02,  -98, -109,    5
  392, 3143, xx:xx, -120, -109,    5
  393, 3094, xx:xx, -120, -120,    5
  394, 1923, 65:02,  -99, -109,    5
  395, 1928, 65:02,  -92,  -95,    5
  396,  478, 65:02,  -95,  -93,    5
  397, 3103, xx:xx, -120, -107,    5
  398, 2171, 65:02,  -93, -106,    5
  399, 1924, 65:02,  -93,  -93,    5
  400,  484, 65:02, -100,  -96,    5
  401,  952, 65:02,  -91,  -95,    5
  402,  486, 65:02,  -86,  -88,    5
  403, 1437, 65:02,  -97,  -91,    5
  404, 2406, 65:02,  -98,  -97,    5
  405, 2883, 65:02,  -94,  -96,    5
  406, 2399, 65:02,  -97,  -95,    5
  407, 2890, 65:02,  -94,  -95,    5
  408, 3089, xx:xx, -120, -107,    5
  409, 1698, 65:02, -100, -110,    5
  410, 3111, xx:xx, -120, -110,    5
  411, 3092, xx:xx, -120, -120,    5
  412, 3092, xx:xx, -120, -120,    5
  413, 3116, xx:xx, -120, -120,    5
  414, 3115, xx:xx, -120, -120,    5
  415, 3108, xx:xx, -120, -120,    5
  416, 3098, xx:xx, -120, -120,    5
  417, 3108, xx:xx, -120, -120,    5
  418, 3104, xx:xx, -120, -120,    5
  419, 3095, xx:xx, -120, -120,    5
  420, 1676, 65:02,  -98, -109,    5
  421, 1437, 65:02,  -96,  -97,    5
  422,  480, 65:02,  -92,  -94,    5
  423, 2395, 65:02,  -93,  -92,    5
  424, 1923, 65:02,  -91,  -92,    5
  425,  484, 65:02,  -98,  -94,    5
  426, 1438, 65:02,  -91,  -94,    5
  427,  476, 65:02,  -89,  -90,    5
  428,  494, 65:02,  -91,  -90,    5
  429, 3102, xx:xx, -120, -105,    5
  430,  244, 65:02, -103, -111,    5
  431,  960, 65:02,  -92,  -97,    5
  432, 3115, xx:xx, -120, -106,    5
  433, 3105, xx:xx, -120, -120,    5
  434,  839, 65:02,  -94, -107,    5
  435, 3096, xx:xx, -120, -107,    5
  436, 3112, xx:xx, -120, -120,    5
  437,  424, 65:02, -100, -110,    5
  438,  464, 65:02,  -97,  -98,    5
  439, 1932, 65:02,  -96,  -96,    5
  440, 3100, xx:xx, -120, -108,    6
  441, 3157, xx:xx, -120, -120,    6
  442, 3100, xx:xx, -120, -120,    6
  443, 3101, xx:xx, -120, -120,    6
  444,  320, 65:02,  -99, -109,    6
  445, 3106, xx:xx, -120, -109,    6
  446, 3098, xx:xx, -120, -120,    6
  447,  528, 65:02,  -95, -107,    6
  448, 3099, xx:xx, -120, -107,    6
  449,  245, 65:02,  -97, -108,    6
  450, 1800, 65:02,  -99,  -98,    6
  451, 3108, xx:xx, -120, -109,    6
  452, 3156, xx:xx, -120, -120,    6
  453,  929, 65:02,  -99, -109,    6
  454,  486, 65:02,  -93,  -96,    6
  455,  493, 65:02,  -93,  -93,    6
  456, 2388, 65:02,  -97,  -95,    6
  457,  474, 65:02,  -94,  -95,    6
  458,  483, 65:02,  -83,  -88,    6
  459,  484, 65:02,  -83,  -83,    6
  460,  473, 65:02, -101,  -92,    6
  461,  494, 65:02,  -98,  -99,    6
  462,  489, 65:02,  -96,  -97,    6
  463, 3107, xx:xx, -120, -108,    6
  464, 3104, xx:xx, -120, -120,    6
  465, 1832, 65:02,  -99, -109,    6
  466,  497, 65:02,  -98,  -98,    6
  467, 2862, 65:02, -100,  -99,    6
  468, 1439, 65:02,  -93,  -96,    6
  469, 3108, xx:xx, -120, -106,    6
  470, 3106, xx:xx, -120, -120,    6
  471, 3112, xx:xx, -120, -120,    6
  472, 3102, xx:xx, -120, -120,    6
  473, 3105, xx:xx, -120, -120,    6
  474, 3108, xx:xx, -120, -120,    6
  475, 1498, 65:02, -103, -111,    6
  476, 3109, xx:xx, -120, -111,    6
  477, 3108, xx:xx, -120, -120,    6
  478, 3114, xx:xx, -120, -120,    6
  479, 1218, 65:02, -100, -110,    6
  480,  966, 65:02,  -96,  -98,    6
  481, 2444, 65:02, -100,  -98,    6
  482,  477, 65:02,  -98,  -99,    6
  483, 3106, xx:xx, -120, -109,    6
  484,  261, 65:02,  -93, -106,    6
  485, 1436, 65:02, -103,  -98,    6
  486,  487, 65:02,  -91,  -97,    6
  487, 1434, 65:02,  -86,  -88,    6
  488, 1466, 65:02,  -94,  -90,    6
  489, 3107, xx:xx, -120, -107,    6
  490,  714, 65:02,  -97, -108,    6
  491,  476, 65:02,  -98,  -97,    6
  492, 3093, xx:xx, -120, -109,    6
  493,  264, 65:02,  -91, -105,    6
  494,  962, 65:02,  -97,  -94,    6
  495, 2396, 65:02,  -96,  -96,    6
  496,  484, 65:02,  -91,  -93,    6
  497, 1949, 65:02,  -97,  -94,    6
  498, 1890, 65:02,  -95,  -96,    6
  499, 3117, xx:xx, -120, -107,    6
  500,  241, 65:02,  -97, -108,    6
  501, 3115, xx:xx, -120, -108,    6
  502, 3092, xx:xx, -120, -120,    6
  503, 3087, xx:xx, -120, -120,    6
  504, 3091, xx:xx, -120, -120,    6
  505, 1540, 65:02, -101, -110,    6
  506, 3107, xx:xx, -120, -110,    6
  507,  725, 65:02,  -98, -109,    7
  508,  482, 65:02, -100,  -99,    7
  509, 3104, xx:xx, -120, -110,    7
  510, 3103, xx:xx, -120, -120,    7
  511, 1491, 65:02,  -96, -108,    7
  512, 3150, xx:xx, -120, -108,    7
  513, 3094, 65:02,  -99, -109,    7
  514, 1443, 65:02,  -89,  -94,    7
  515,  470, 65:02, -102,  -95,    7
  516, 1938, 65:02,  -89,  -95,    7
  517,  948, 65:02,  -94,  -91,    7
  518,  468, 65:02,  -91,  -92,    7
  519,  490, 65:02,  -95,  -93,    7
  520,  963, 65:02,  -94,  -94,    7
  521,  478, 65:02,  -89,  -91,    7
  522, 3106, xx:xx, -120, -104,    7
  523,  963, 65:02,  -98, -109,    7
  524,  960, 65:02,  -98,  -98,    7
  525,  962, 65:02,  -96,  -97,    7
  526, 2402, 65:02,  -98,  -97,    7
  527,  477, 65:02,  -96,  -97,    7
  528, 2395, 65:02,  -97,  -96,    7
  529,  965, 65:02, -104, -100,    7
  530, 3112, xx:xx, -120, -112,    7
  531, 3111, xx:xx, -120, -120,    7
  532, 2818, 65:02,  -97, -108,    7
  533, 3111, xx:xx, -120, -108,    7
  534, 3097, xx:xx, -120, -120,    7
  535, 3099, xx:xx, -120, -120,    7
  536, 2221, 65:02,  -99, -109,    7
  537, 1925, 65:02,  -99,  -99,    7
  538, 2888, 65:02, -101, -100,    7
  539, 3099, xx:xx, -120, -110,    7
  540, 3095, xx:xx, -120, -120,    7
  541,  503, 65:02,  -97, -108,    7
  542, 3148, xx:xx, -120, -108,    7
  543, 1267, 65:02,  -97, -108,    7
  544,  498, 65:02,  -97,  -97,    7
  545,  940, 65:02,  -90,  -93,    7
  546,  961, 65:02,  -93,  -91,    7
  547,  960, 65:02,  -89,  -91,    7
  548,  478, 65:02,  -87,  -88,    7
  549, 2905, 65:02,  -89,  -88,    7
  550,  459, 65:02,  -85,  -87,    7
  551,  481, 65:02,  -85,  -85,    7
  552,  959, 65:02,  -87,  -86,    7
  553, 1439, 65:02,  -84,  -85,    8
  554,  484, 65:02,  -83,  -83,    8
  555,  960, 65:02,  -86,  -84,    8
  556,  955, 65:02,  -87,  -86,    8
  557,  480, 65:02,  -91,  -89,    8
  558,  482, 65:02,  -86,  -88,    8
  559,  495, 65:02,  -85,  -85,    8
  560,  468, 65:02,  -86,  -85,    8
  561,  471, 65:02,  -83,  -84,    8
  562,  494, 65:02,  -84,  -83,    8
  563,  481, 65:02,  -85,  -84,    8
  564,  471, 65:02,  -85,  -85,    8
  565,  479, 65:02,  -88,  -86,    8
  566,  969, 65:02,  -93,  -90,    8
  567,  955, 65:02,  -83,  -88,    8
  568,  488, 65:02,  -81,  -82,    8
  569,  469, 65:02,  -92,  -86,    8
  570,  483, 65:02,  -81,  -86,    8
  571,  486, 65:02,  -86,  -83,    8
  572,  473, 65:02,  -87,  -86,    8
  573,  478, 65:02,  -89,  -88,    8
  574,  479, 65:02,  -81,  -85,    8
  575,  478, 65:02,  -82,  -81,    8
  576,  972, 65:02,  -96,  -89,    8
  577,  953, 65:02,  -77,  -86,    8
  578,  961, 65:02,  -74,  -75,    8
  579,  474, 65:02,  -75,  -74,    8
  580,  483, 65:02,  -70,  -72,    8
  581,  481, 65:02,  -75,  -72,    8
  582,  475, 65:02,  -83,  -79,    8
  583,  484, 65:02,  -95,  -89,    8
  584,  481, 65:02,  -86,  -90,    8
  585,  495, 65:02,  -87,  -86,    8
  586,  462, 65:02,  -90,  -88,    8
  587,  964, 65:02,  -89,  -89,    8
  588,  484, 65:02,  -89,  -89,    8
  589,  472, 65:02,  -88,  -88,    8
  590,  482, 65:02,  -88,  -88,    8
  591,  489, 65:02,  -89,  -88,    8
  592,  491, 65:02,  -88,  -88,    8
  593,  460, 65:02,  -86,  -87,    8
  594, 1435, 65:02,  -87,  -86,    8
  595,  482, 65:02,  -84,  -85,    8
  596,  480, 65:02,  -79,  -81,    8
  597,  481, 65:02,  -77,  -78,    8
  598,  484, 65:02,  -75,  -76,    8
  599,  512, 65:02,  -76,  -75,    8
  600,  444, 65:02,  -75,  -75,    8
  601,  482, 65:02,  -75,  -75,    8
  602,  483, 65:02,  -75,  -75,    8
  603,  480, 65:02,  -76,  -75,    8
  604,  481, 65:02,  -76,  -76,    8
  605,  506, 65:02,  -75,  -75,    8
  606,  449, 65:02,  -75,  -75,    8
  607,  482, 65:02,  -73,  -74,    8
  608,  476, 65:02,  -73,  -73,    8
  609,  508, 65:02,  -71,  -72,    8
  610,  945, 65:02,  -75,  -73,    8
  611,  496, 65:02,  -89,  -82,    8
  612,  455, 65:02,  -86,  -87,    8
  613,  479, 65:02,  -90,  -88,    8
  614,  475, 65:02,  -89,  -89,    8
  615,  484, 65:02,  -88,  -88,    8
  616,  515, 65:02,  -89,  -88,    8
  617,  448, 65:02,  -88,  -88,    8
  618,  500, 65:02,  -89,  -88,    8
  619,  456, 65:02,  -88,  -88,    8
  620,  492, 65:02,  -86,  -87,    8
  621,  472, 65:02,  -85,  -85,    8
  622,  479, 65:02,  -74,  -79,    8
  623, 1440, 65:02,  -74,  -74,    8
  624,  985, 65:02,  -73,  -73,    8
  625,  455, 65:02,  -78,  -75,    8
  626,  512, 65:02,  -74,  -76,    8
  627,  928, 65:02,  -83,  -78,    8
  628,  481, 65:02,  -74,  -78,    8
  629,  483, 65:02,  -73,  -73,    8
  630,  485, 65:02,  -72,  -72,    8
  631,  464, 65:02,  -73,  -72,    8
